EPOCH                                                 B_R                         B_T                         B_N
dd-mm-yyyy hh:mm:ss.mil.mic                            nT                          nT                          nT
06-09-2022 04:36:29.999.996.8                     7.11348                    -9.24372                    -1.47334
06-09-2022 04:37:30.000.003.3                     5.18915                    -8.50271                    0.504223
06-09-2022 04:38:29.999.999.7                     6.19521                    -8.03114                    -4.40955
06-09-2022 04:39:29.999.996.2                     6.59307                    -9.00336                    -1.69412
06-09-2022 04:40:30.000.002.6                     6.25604                    -8.56941                    -1.90812
06-09-2022 04:41:29.999.999.1                     5.88631                    -8.15893                    -1.20295
06-09-2022 04:42:29.999.995.5                     5.59300                    -8.36727                    -1.40269
06-09-2022 04:43:30.000.002.0                     4.15572                    -8.98722                   -0.132807
06-09-2022 04:44:29.999.998.4                     3.85813                    -8.95235                    -1.71759
06-09-2022 04:45:30.000.004.9                     4.46408                    -8.77075                    0.343381
06-09-2022 04:46:30.000.001.3                     3.55464                    -8.82433                     1.92661
06-09-2022 04:47:29.999.997.7                     4.47747                    -9.02096                     2.17945
06-09-2022 04:48:30.000.004.2                     6.20165                    -8.55418                     1.61525
06-09-2022 04:49:30.000.000.6                     4.50897                    -9.57818                     2.31931
06-09-2022 04:50:29.999.997.0                     5.50310                    -8.58284                   -0.311439
06-09-2022 04:51:30.000.003.5                     5.23922                    -8.97725                    0.342613
06-09-2022 04:52:30.000.000.0                     2.94399                    -9.43797                    -4.35778
06-09-2022 04:53:29.999.996.4                     5.38361                    -8.20754                    -6.19140
06-09-2022 04:54:30.000.002.9                     4.43974                    -9.25275                    -4.15874
06-09-2022 04:55:29.999.999.3                     9.17825                    -4.82338                     3.78783
06-09-2022 04:56:29.999.995.7                     1.82654                    -11.0345                    -1.52902
06-09-2022 04:57:30.000.002.2                     2.22690                    -10.6996                   -0.174454
06-09-2022 04:58:29.999.998.6                    -2.65786                    -10.8141                    -1.94968
06-09-2022 04:59:29.999.995.0                    -4.95688                    -9.79669                     1.70040
06-09-2022 05:00:30.000.001.5                    -6.29823                    -8.68132                     2.77298
06-09-2022 05:01:29.999.997.9                    -2.55683                    -11.4709                     1.15421
06-09-2022 05:02:30.000.004.4                    -5.07071                    -10.4869                    0.942041
06-09-2022 05:03:30.000.000.8                    -1.92221                    -11.4801                   0.0116845
06-09-2022 05:04:29.999.997.3                    -2.06629                    -11.9815                    0.155044
06-09-2022 05:05:30.000.003.7                    -2.16859                    -12.2959                    0.663380
06-09-2022 05:06:30.000.000.2                   -0.910194                    -11.8447                     1.41889
06-09-2022 05:07:29.999.996.6                     3.52518                    -11.1590                     1.29505
06-09-2022 05:08:30.000.003.1                     5.11368                    -10.2348                     1.88374
06-09-2022 05:09:29.999.999.5                     5.00715                    -10.7928                     1.15537
06-09-2022 05:10:29.999.995.9                     4.12084                    -11.3946                     1.10822
06-09-2022 05:11:30.000.002.4                    -5.96529                    -10.1579                     3.21370
06-09-2022 05:12:29.999.998.8                    0.530760                    -11.8292                     2.71068
